suresh3,  Tata Nexon EV 2020,  MH25YT5644,  9856984785,  136547896587, 11022021, 21
sachin3,  Tesla Model S 2021,  MH8798KM5511,  8797464521,  789456321452, 12022021, 12
ramesh3,  Mahindra E Verito 2016,  MH87QS2209,  6587421589,  654874589856, 20112021, 6
sahil3,  Hyundai Kona Electric 2021,  MH68PR7688,  6984587458,  456985214785, 11022021, 14
ravi3,  Mahindra E Verito 2016,  MH85LL4261,  9874565412,  456987133987, 10052021, 6
Lokesh Rane1, Tata Nexon EV 2020, MH16GH7877, 9422887766, 123456789123, 1062021, 2
Nikhil1, Jaguar i-peace 2021, MH16KJ9977, 8722893466, 231765489276, 2062021, 13
John Cena1, MG EV 2021, MH16BH9988, 9322776655, 674537890876, 16052021, 2
Shivam1 , Tesla Model S 2021, MH16TT5433, 7833998877, 453456432456, 30052021, 10
Pranav Wandhekar1, Jaguar i-peace 2021, MH16GB7788, 9422223377, 765678987654, 23052021, 12
Sammy1, MG EV 2021, MH13KK4532, 7899112255, 345673456434, 31062021, 1
Amit1, Tata Tigor EV 2021, MH16HB7777, 9307966905, 238877663300, 27062021, 10
Alberto1 , Jaguar i-peace 2021, MH17HH8899, 9766881100, 675801222222, 2062021, 4
Dhawal1, Tata Nexon EV 2020, MH12GG5566, 8877667788, 767890876545, 2062021, 1
Ajinkya1, MG EV 2021, MH17YY9877, 9833736566, 998877664433, 24052021, 8
Abhishek1 , Tesla Model S 2021, MH17HH6677, 7899221122, 783829374657, 1062021, 2
jason3,  tata tiger ev2 2021,  MH12SD2233,  8794561325,  4589125893258, 25012021, 6
golu3, Jaguar i-peace 2021, MH04UI2122, 9878456525, 456985214587, 02022021, 8
Krish3, Mahindra E Verito 2016, MH16HJ9976, 9422339977, 345346879746, 23052021, 7
sachinn3, Jaguar i-peace 2021, MH66YT7888, 9422237766, 876789876789, 23052021, 3
Krish3, Tesla Model S 2021, MH23HN9977, 9421817788, 987654767676, 30052021, 12
virendra3, Tata Tigor EV 2021, MH16BH8767, 9422339778, 234567896421, 31052021, 12
Pranjal Kumar3, Tata Nexon EV 2020, MH16GH6755, 9878345768, 976489365473, 1062021, 2
Sachin Chendulkar3, Tata Nexon EV 2020, MH16GH7654, 9433879977, 634238674536, 1062021, 12
Lokesh Rane3, Tata Nexon EV 2020, MH16GH7877, 9422887766, 123456789123, 1062021, 2
Nikhil3, Jaguar i-peace 2021, MH16KJ9977, 8722893466, 231765489276, 2062021, 13
John Cena3, MG EV 2021, MH16BH9988, 9322776655, 674537890876, 16052021, 2
Shivam3 , Tesla Model S 2021, MH16TT5433, 7833998877, 453456432456, 30052021, 10
Pranav Wandhekar3, Jaguar i-peace 2021, MH16GB7788, 9422223377, 765678987654, 23052021, 12
Sammy3, MG EV 2021, MH13KK4532, 7899112255, 345673456434, 31062021, 1
Amit3, Tata Tigor EV 2021, MH16HB7777, 9307966905, 238877663300, 27062021, 10
Alberto3 , Jaguar i-peace 2021, MH17HH8899, 9766881100, 675801222222, 2062021, 4
Dhawal3, Tata Nexon EV 2020, MH12GG5566, 8877667788, 767890876545, 2062021, 1
Ajinkya3, MG EV 2021, MH17YY9877, 9833736566, 998877664433, 24052021, 8
Abhishek3 , Tesla Model S 2021, MH17HH6677, 7899221122, 783829374657, 1062021, 2
Amol3, Strom Motors R3 2020, MH10HH7864, 9899213276, 765321456789, 20052021, 26
Lol3, Tesla Model S 2021, MH16HH7655, 9421972233, 789654678908, 1052021, 4
Mark3, Tata Tigor EV 2021, MH16TH7866, 9877995566, 768976543212, 1062021, 3
suresh2,  Tata Nexon EV 2020,  MH25YT5644,  9856984785,  136547896587, 11022021, 21
sachin2,  Tesla Model S 2021,  MH8798KM5511,  8797464521,  789456321452, 12022021, 12
ramesh2,  Mahindra E Verito 2016,  MH87QS2209,  6587421589,  654874589856, 20112021, 6
sahil2,  Hyundai Kona Electric 2021,  MH68PR7688,  6984587458,  456985214785, 11022021, 14
ravi2,  Mahindra E Verito 2016,  MH85LL4261,  9874565412,  456987133987, 10052021, 6
Lokesh Rane2, Tata Nexon EV 2020, MH16GH7877, 9422887766, 123456789123, 1062021, 2
Nikhil2, Jaguar i-peace 2021, MH16KJ9977, 8722893466, 231765489276, 2062021, 13
John Cena2, MG EV 2021, MH16BH9988, 9322776655, 674537890876, 16052021, 2
Shivam2 , Tesla Model S 2021, MH16TT5433, 7833998877, 453456432456, 30052021, 10
Pranav Wandhekar2, Jaguar i-peace 2021, MH16GB7788, 9422223377, 765678987654, 23052021, 12
Sammy2, MG EV 2021, MH13KK4532, 7899112255, 345673456434, 31062021, 1
Amit2, Tata Tigor EV 2021, MH16HB7777, 9307966905, 238877663300, 27062021, 10
Alberto2 , Jaguar i-peace 2021, MH17HH8899, 9766881100, 675801222222, 2062021, 4
Dhawal2, Tata Nexon EV 2020, MH12GG5566, 8877667788, 767890876545, 2062021, 1
Ajinkya2, MG EV 2021, MH17YY9877, 9833736566, 998877664433, 24052021, 8
Abhishek2 , Tesla Model S 2021, MH17HH6677, 7899221122, 783829374657, 1062021, 2
jason2,  tata tiger ev2 2021,  MH12SD2233,  8794561325,  4589125893258, 25012021, 6
golu2, Jaguar i-peace 2021, MH04UI2122, 9878456525, 456985214587, 02022021, 8
Krish2, Mahindra E Verito 2016, MH16HJ9976, 9422339977, 345346879746, 23052021, 7
sachinn2, Jaguar i-peace 2021, MH66YT7888, 9422237766, 876789876789, 23052021, 3
Krish2, Tesla Model S 2021, MH23HN9977, 9421817788, 987654767676, 30052021, 12
virendra2, Tata Tigor EV 2021, MH16BH8767, 9422339778, 234567896421, 31052021, 12
Pranjal Kumar2, Tata Nexon EV 2020, MH16GH6755, 9878345768, 976489365473, 1062021, 2
Sachin Chendulkar2, Tata Nexon EV 2020, MH16GH7654, 9433879977, 634238674536, 1062021, 12
Lokesh Rane2, Tata Nexon EV 2020, MH16GH7877, 9422887766, 123456789123, 1062021, 2
Nikhil2, Jaguar i-peace 2021, MH16KJ9977, 8722893466, 231765489276, 2062021, 13
John Cena2, MG EV 2021, MH16BH9988, 9322776655, 674537890876, 16052021, 2
Shivam2 , Tesla Model S 2021, MH16TT5433, 7833998877, 453456432456, 30052021, 10
Pranav Wandhekar2, Jaguar i-peace 2021, MH16GB7788, 9422223377, 765678987654, 23052021, 12
Sammy2, MG EV 2021, MH13KK4532, 7899112255, 345673456434, 31062021, 1
Amit2, Tata Tigor EV 2021, MH16HB7777, 9307966905, 238877663300, 27062021, 10
Alberto2 , Jaguar i-peace 2021, MH17HH8899, 9766881100, 675801222222, 2062021, 4
Dhawal2, Tata Nexon EV 2020, MH12GG5566, 8877667788, 767890876545, 2062021, 1
Ajinkya2, MG EV 2021, MH17YY9877, 9833736566, 998877664433, 24052021, 8
Abhishek2 , Tesla Model S 2021, MH17HH6677, 7899221122, 783829374657, 1062021, 2
